,T_GUS_25,T_CCD8_7,T_CCD8_9,T_CCD8_16,T_722_12,T_MMA_4,T_GUS_10,T_722_15,T_MMA_3,T_EP_4,T_712_7,T_EP_3,T_712_9,T_722_14,T_722_13,T_MMA_5,T_GUS_16,T_CCD8_10,T_GUS_18,T_MMA_11,T_712_11,T_712_16,T_CCD8_8,T_712_18,T_GUS_23,T_CCD8_1,T_722_5,T_712_8,T_712_6,T_EP_2,T_722_1,T_722_6,T_712_2,T_EP_1,T_MMA_6,T_GUS_12,T_722_17,T_MMA_1,T_MMA_12,T_CCD8_14,T_CCD8_13,T_CCD8_5,T_GUS_20,T_712_4,T_722_9,T_GUS_21,T_GUS_26,T_CCD8_3,T_712_13,T_712_14,T_MMA_13,T_CCD8_15,T_GUS_13,T_722_16
marA,7353.0,8936.0,7992.0,6308.0,6768.0,8064.0,8108.0,7771.0,8019.0,5896.0,6447.0,5975.0,7600.0,7724.0,7680.0,6485.0,9094.0,8295.0,8769.0,9161.0,6339.0,6277.0,7159.0,6124.0,8773.0,7580.0,7368.0,6899.0,6468.0,6960.0,7555.0,6810.0,5815.0,6946.0,6706.0,8908.0,7964.0,6640.0,7900.0,7493.0,6787.0,8163.0,7107.0,6718.0,7035.0,8550.0,8131.0,8046.0,8339.0,6786.0,8411.0,7515.0,6623.0,6997.0
mecR1,6004.0,5854.0,4830.0,4872.0,4142.0,3713.0,5507.0,4153.0,5114.0,4304.0,3646.0,5328.0,3708.0,4237.0,4819.0,4107.0,6290.0,4335.0,5451.0,5249.0,3572.0,4409.0,4751.0,3371.0,6139.0,4890.0,4996.0,3741.0,4229.0,6536.0,5126.0,4283.0,3677.0,5376.0,4021.0,5715.0,4989.0,4277.0,4702.0,4530.0,4658.0,4840.0,4000.0,3886.0,5580.0,4707.0,4598.0,5261.0,4777.0,4389.0,4203.0,4593.0,4644.0,4282.0
mprF,8090.0,8310.0,8168.0,7350.0,7254.0,8455.0,9112.0,8222.0,7979.0,8198.0,7252.0,7616.0,6243.0,6927.0,6869.0,7576.0,7559.0,8021.0,7711.0,9568.0,5806.0,6980.0,6959.0,6643.0,7434.0,8705.0,8030.0,7845.0,6805.0,7082.0,7725.0,8253.0,7500.0,8337.0,8022.0,7297.0,7646.0,8107.0,9098.0,6561.0,7947.0,8572.0,7249.0,5732.0,9359.0,9996.0,7754.0,9973.0,7279.0,6732.0,7993.0,7583.0,7428.0,6553.0
msbA,509223.0,478294.0,488562.0,467624.0,475228.0,472596.0,513488.0,498284.0,511075.0,452684.0,362036.0,454289.0,415540.0,458717.0,424856.0,438003.0,507210.0,458667.0,490818.0,477177.0,355027.0,397287.0,437605.0,391375.0,484701.0,539662.0,485264.0,416429.0,372568.0,468481.0,466488.0,457540.0,382992.0,459951.0,418916.0,467555.0,484602.0,493862.0,531430.0,437271.0,468050.0,473139.0,446361.0,361680.0,553523.0,514076.0,511296.0,506063.0,371135.0,394189.0,476926.0,487029.0,450802.0,431098.0
norA,2152.0,1679.0,1816.0,1629.0,1522.0,1575.0,1684.0,1616.0,1682.0,2129.0,1248.0,1572.0,1579.0,1827.0,1515.0,1421.0,1993.0,1533.0,1570.0,1258.0,1184.0,1364.0,1865.0,1561.0,2280.0,1981.0,1611.0,1214.0,1395.0,2256.0,1716.0,1910.0,1356.0,2244.0,1506.0,1615.0,1704.0,2010.0,1706.0,2130.0,1801.0,1677.0,1600.0,1197.0,1889.0,1561.0,1870.0,1839.0,1152.0,1417.0,1743.0,1682.0,1589.0,1630.0
phoQ,12456.0,12719.0,11705.0,12068.0,12525.0,11520.0,12454.0,11729.0,12335.0,11093.0,8862.0,10385.0,9651.0,11220.0,10687.0,10946.0,12457.0,11730.0,12859.0,11926.0,8358.0,10459.0,11478.0,10231.0,12660.0,13591.0,11531.0,10880.0,9562.0,12679.0,11170.0,11266.0,10003.0,11404.0,9151.0,11423.0,11683.0,12832.0,13905.0,10570.0,11807.0,11445.0,11799.0,9110.0,14465.0,13254.0,12272.0,12302.0,9485.0,10590.0,11683.0,11961.0,10813.0,10779.0
ramA,25063.0,27919.0,23607.0,22467.0,22105.0,24477.0,24023.0,24159.0,24931.0,18561.0,18662.0,17575.0,20570.0,22742.0,23225.0,21204.0,27376.0,22973.0,25834.0,24550.0,19060.0,20424.0,20629.0,18641.0,25424.0,23524.0,23760.0,21819.0,20054.0,21258.0,23975.0,23750.0,17850.0,20840.0,20636.0,24580.0,24815.0,21142.0,25473.0,20912.0,21963.0,24890.0,22102.0,20992.0,24932.0,23570.0,24823.0,25831.0,24735.0,19505.0,23698.0,23600.0,20926.0,22386.0
robA,18254.0,20337.0,17585.0,17085.0,15997.0,16540.0,17508.0,16926.0,18284.0,13335.0,13743.0,13509.0,14307.0,16056.0,16405.0,15164.0,18830.0,16794.0,18108.0,17745.0,12984.0,14437.0,14942.0,13787.0,19480.0,18630.0,17875.0,15974.0,14671.0,16636.0,17454.0,17386.0,13509.0,15654.0,15433.0,18852.0,17840.0,16491.0,19798.0,16979.0,16568.0,18799.0,15801.0,14044.0,20175.0,17431.0,19137.0,18480.0,15672.0,14784.0,18626.0,17664.0,15575.0,16212.0
romA,8067.0,7883.0,7505.0,7748.0,7148.0,6498.0,7633.0,7604.0,7074.0,7466.0,5904.0,7092.0,6237.0,6804.0,6531.0,6219.0,8500.0,6892.0,7527.0,6970.0,5303.0,5581.0,6680.0,5807.0,7680.0,8113.0,6705.0,6063.0,5665.0,7173.0,7373.0,7132.0,5777.0,7515.0,6042.0,7136.0,7838.0,7066.0,7763.0,7085.0,7312.0,7650.0,6528.0,5391.0,8017.0,8434.0,7494.0,8429.0,6204.0,6094.0,6535.0,7511.0,6928.0,6134.0
soxR,17206.0,17159.0,16893.0,15235.0,16787.0,19626.0,19772.0,21102.0,20518.0,18639.0,16224.0,16453.0,16820.0,18224.0,16056.0,15562.0,19287.0,21499.0,18024.0,20127.0,14723.0,15702.0,15430.0,15089.0,15883.0,21436.0,18098.0,16949.0,16196.0,15203.0,17094.0,17851.0,16064.0,16574.0,17247.0,16661.0,17165.0,18265.0,21300.0,14819.0,15201.0,19226.0,18684.0,14963.0,18423.0,19824.0,17372.0,21042.0,17151.0,15324.0,19786.0,17678.0,15979.0,19012.0
