,T_GUS_25,T_CCD8_7,T_CCD8_9,T_CCD8_16,T_722_12,T_MMA_4,T_GUS_10,T_722_15,T_MMA_3,T_EP_4,T_712_7,T_EP_3,T_712_9,T_722_14,T_722_13,T_MMA_5,T_GUS_16,T_CCD8_10,T_GUS_18,T_MMA_11,T_712_11,T_712_16,T_CCD8_8,T_712_18,T_GUS_23,T_CCD8_1,T_722_5,T_712_8,T_712_6,T_EP_2,T_722_1,T_722_6,T_712_2,T_EP_1,T_MMA_6,T_GUS_12,T_722_17,T_MMA_1,T_MMA_12,T_CCD8_14,T_CCD8_13,T_CCD8_5,T_GUS_20,T_712_4,T_722_9,T_GUS_21,T_GUS_26,T_CCD8_3,T_712_13,T_712_14,T_MMA_13,T_CCD8_15,T_GUS_13,T_722_16
RND_efflux,242085.0,239985.0,227463.0,224088.0,229368.0,198449.0,233121.0,232643.0,223684.0,242335.0,163297.0,221383.0,214089.0,226201.0,226603.0,214637.0,245637.0,206363.0,245542.0,204377.0,174115.0,182684.0,220851.0,187857.0,263032.0,251222.0,232791.0,186949.0,170243.0,239922.0,223793.0,220773.0,172176.0,243930.0,182736.0,237267.0,229221.0,225044.0,230509.0,236773.0,229312.0,215575.0,197404.0,168589.0,257468.0,219668.0,255066.0,232630.0,187432.0,185465.0,193172.0,239641.0,212969.0,220519.0
SHV-LEN,24.0,,,36.0,,,6.0,,,,,,,16.0,,21.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,
SME,,,5.0,,,,16.0,,,,,,,,,,3.0,,,,,,4.0,6.0,,8.0,,,,,34.0,,,15.0,,,,4.0,,4.0,,,,,,,,,,,,4.0,,
SPM,30.0,30.0,59.0,,15.0,6.0,68.0,12.0,6.0,8.0,12.0,4.0,7.0,18.0,,10.0,6.0,21.0,13.0,,8.0,22.0,16.0,15.0,5.0,19.0,6.0,39.0,,25.0,,19.0,6.0,22.0,4.0,39.0,19.0,29.0,46.0,16.0,27.0,4.0,75.0,,8.0,19.0,7.0,66.0,,15.0,17.0,15.0,15.0,11.0
Sfh,,,,,10.0,11.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubclassB1,669.0,489.0,478.0,547.0,553.0,640.0,555.0,633.0,567.0,398.0,342.0,426.0,367.0,589.0,576.0,501.0,451.0,643.0,678.0,530.0,435.0,641.0,425.0,481.0,431.0,668.0,313.0,391.0,409.0,619.0,469.0,500.0,582.0,610.0,516.0,514.0,422.0,537.0,618.0,481.0,507.0,442.0,313.0,428.0,511.0,345.0,349.0,350.0,269.0,481.0,572.0,578.0,532.0,447.0
SubclassB2,173.0,308.0,208.0,175.0,329.0,163.0,368.0,333.0,296.0,228.0,254.0,296.0,365.0,336.0,340.0,243.0,327.0,192.0,287.0,346.0,307.0,218.0,281.0,247.0,418.0,400.0,206.0,165.0,194.0,286.0,369.0,299.0,325.0,105.0,230.0,364.0,286.0,343.0,376.0,360.0,259.0,380.0,236.0,222.0,349.0,219.0,322.0,294.0,307.0,216.0,146.0,333.0,315.0,277.0
SubclassB3,14743.0,15917.0,13543.0,15107.0,14298.0,14542.0,15355.0,15603.0,15796.0,14540.0,10758.0,13572.0,12533.0,13985.0,13549.0,13182.0,15783.0,13338.0,15008.0,13716.0,11172.0,12309.0,13181.0,12343.0,15413.0,16042.0,15593.0,12574.0,11746.0,14413.0,15191.0,13864.0,10798.0,14532.0,12227.0,15205.0,15351.0,14295.0,15262.0,14717.0,14006.0,14655.0,13842.0,11780.0,16571.0,14989.0,15554.0,15636.0,12548.0,12024.0,15379.0,14948.0,13802.0,14111.0
TEM,74.0,68.0,58.0,111.0,126.0,31.0,51.0,33.0,76.0,120.0,143.0,79.0,23.0,70.0,61.0,71.0,35.0,87.0,64.0,12.0,134.0,102.0,83.0,41.0,38.0,93.0,65.0,67.0,23.0,90.0,25.0,48.0,108.0,34.0,141.0,73.0,49.0,46.0,83.0,79.0,46.0,81.0,91.0,56.0,10.0,80.0,76.0,81.0,59.0,26.0,119.0,95.0,77.0,77.0
TE_Inactivator,22520.0,22416.0,21864.0,22519.0,21985.0,21642.0,23875.0,23659.0,23111.0,22801.0,15768.0,21438.0,18832.0,21145.0,20147.0,19306.0,22633.0,20483.0,23077.0,21503.0,15641.0,19702.0,19367.0,18135.0,20725.0,24892.0,22539.0,19883.0,16995.0,20321.0,23481.0,22822.0,17294.0,23296.0,19677.0,20485.0,20317.0,20812.0,23820.0,20001.0,23259.0,21921.0,21052.0,17023.0,28167.0,24136.0,21892.0,24822.0,16892.0,18764.0,20076.0,22947.0,19685.0,20822.0
TetA,13452.0,12192.0,10783.0,11316.0,10964.0,10598.0,11893.0,11458.0,11931.0,9484.0,8566.0,10496.0,9482.0,10921.0,10785.0,11479.0,11838.0,11588.0,11994.0,10860.0,8509.0,9781.0,10126.0,9568.0,11890.0,12514.0,11195.0,10076.0,8306.0,13185.0,11732.0,10341.0,7995.0,10163.0,9305.0,12559.0,12058.0,11725.0,12655.0,10150.0,11467.0,10946.0,9631.0,9024.0,12510.0,11900.0,12196.0,11163.0,9848.0,9028.0,11611.0,11660.0,10825.0,11145.0
TetA-B,104.0,83.0,102.0,90.0,222.0,104.0,102.0,125.0,7.0,118.0,63.0,183.0,335.0,187.0,143.0,297.0,134.0,89.0,107.0,318.0,311.0,69.0,220.0,91.0,246.0,261.0,368.0,157.0,149.0,52.0,160.0,26.0,227.0,239.0,213.0,169.0,120.0,127.0,142.0,187.0,221.0,335.0,122.0,82.0,200.0,287.0,205.0,18.0,47.0,67.0,44.0,93.0,54.0,94.0
TetA-G,16.0,6.0,53.0,15.0,49.0,27.0,67.0,15.0,39.0,26.0,35.0,63.0,21.0,9.0,25.0,66.0,50.0,13.0,97.0,33.0,,17.0,6.0,54.0,13.0,48.0,35.0,39.0,16.0,32.0,14.0,9.0,45.0,50.0,49.0,12.0,149.0,24.0,25.0,22.0,10.0,85.0,32.0,,35.0,45.0,2.0,74.0,,38.0,26.0,38.0,10.0,27.0
TetD,37.0,50.0,36.0,35.0,36.0,70.0,28.0,34.0,40.0,71.0,2.0,,52.0,34.0,14.0,22.0,,19.0,56.0,20.0,10.0,30.0,17.0,8.0,23.0,61.0,14.0,12.0,11.0,48.0,57.0,10.0,,17.0,29.0,,38.0,5.0,27.0,19.0,57.0,12.0,11.0,,30.0,22.0,19.0,10.0,29.0,9.0,1.0,,17.0,18.0
